"He's a Pirate"

# Right Hand
42.630000 60 108
42.700000 60 108
42.770000 60 108
42.630000 64 108
42.700000 64 108
42.770000 64 108
42.630000 67 108
42.700000 67 108
42.770000 67 108
42.910000 60 108
42.980000 60 108
43.050000 60 108
42.910000 64 108
42.980000 64 108
43.050000 64 108
42.910000 67 108
42.980000 67 108
43.050000 67 108
43.260000 60 108
43.330000 60 108
43.260000 64 108
43.330000 64 108
43.260000 67 108
43.330000 67 108
43.400000 60 108
43.470000 60 108
43.400000 65 108
43.470000 65 108
43.400000 69 108
43.470000 69 108
44.100000 62 108
44.170000 62 108
44.240000 62 108
44.100000 65 108
44.170000 65 108
44.240000 65 108
44.100000 69 108
44.170000 69 108
44.240000 69 108
44.450000 62 108
44.520000 62 108
44.590000 62 108
44.450000 65 108
44.520000 65 108
44.590000 65 108
44.450000 69 108
44.520000 69 108
44.590000 69 108
44.730000 62 108
44.800000 62 108
44.870000 62 108
44.730000 65 108
44.800000 65 108
44.870000 65 108
44.730000 69 108
44.800000 69 108
44.870000 69 108
45.010000 62 108
45.080000 62 108
45.010000 65 108
45.080000 65 108
45.010000 70 108
45.080000 70 108
45.150000 62 108
45.220000 62 108
45.150000 65 108
45.220000 65 108
45.150000 69 108
45.220000 69 108
45.920000 61 108
45.990000 61 108
46.060000 61 108
45.920000 64 108
45.990000 64 108
46.060000 64 108
45.920000 67 108
45.990000 67 108
46.060000 67 108
46.200000 61 108
46.270000 61 108
46.340000 61 108
46.200000 65 108
46.270000 65 108
46.340000 65 108
46.550000 57 108
46.620000 57 108
46.690000 57 108
46.550000 64 108
46.620000 64 108
46.690000 64 108
46.830000 53 108
46.900000 53 108
46.970000 53 108
46.830000 57 108
46.900000 57 108
46.970000 57 108
46.830000 62 108
46.900000 62 108
46.970000 62 108
47.460000 62 108
47.530000 62 108
47.600000 64 108
47.670000 64 108
47.740000 57 108
47.810000 57 108
47.880000 57 108
47.950000 57 108
48.020000 57 108
48.090000 57 108
48.160000 57 108
47.740000 62 108
47.810000 62 108
47.880000 62 108
47.950000 62 108
48.020000 62 108
48.090000 62 108
48.160000 62 108
47.740000 65 108
47.810000 65 108
47.880000 65 108
47.950000 65 108
48.020000 65 108
48.090000 65 108
48.160000 65 108
48.300000 67 108
48.370000 67 108
48.510000 69 108
48.580000 69 108
48.650000 60 108
48.720000 60 108
48.790000 60 108
48.650000 67 108
48.720000 67 108
48.790000 67 108
48.930000 60 108
49.000000 60 108
49.070000 60 108
48.930000 65 108
49.000000 65 108
49.070000 65 108
49.210000 60 108
49.280000 60 108
49.350000 60 108
49.210000 64 108
49.280000 64 108
49.350000 64 108
49.560000 57 108
49.630000 57 108
49.700000 57 108
49.560000 60 108
49.630000 60 108
49.700000 60 108
49.560000 65 108
49.630000 65 108
49.700000 65 108
49.840000 57 108
49.910000 57 108
49.980000 57 108
49.840000 60 108
49.910000 60 108
49.980000 60 108
49.840000 67 108
49.910000 67 108
49.980000 67 108
50.120000 57 108
50.190000 57 108
50.260000 57 108
50.120000 60 108
50.190000 60 108
50.260000 60 108
50.120000 69 108
50.190000 69 108
50.260000 69 108
50.400000 60 108
50.470000 60 108
50.540000 60 108
50.400000 64 108
50.470000 64 108
50.540000 64 108
50.400000 67 108
50.470000 67 108
50.540000 67 108
51.030000 65 108
51.100000 65 108
51.170000 67 108
51.240000 67 108
51.310000 60 108
51.380000 60 108
51.450000 60 108
51.310000 65 108
51.380000 65 108
51.450000 65 108
51.310000 69 108
51.380000 69 108
51.450000 69 108
51.940000 67 108
52.010000 67 108
52.080000 65 108
52.150000 65 108
52.220000 61 108
52.290000 61 108
52.360000 61 108
52.220000 64 108
52.290000 64 108
52.360000 64 108
52.500000 61 108
52.570000 61 108
52.640000 61 108
52.500000 65 108
52.570000 65 108
52.640000 65 108
52.850000 61 108
52.920000 61 108
52.990000 61 108
52.850000 64 108
52.920000 64 108
52.990000 64 108
53.130000 53 108
53.200000 53 108
53.270000 53 108
53.130000 57 108
53.200000 57 108
53.270000 57 108
53.130000 62 108
53.200000 62 108
53.270000 62 108
53.760000 64 108
53.830000 64 108
53.900000 60 108
53.970000 60 108
54.040000 53 108
54.110000 53 108
54.040000 57 108
54.110000 57 108
54.040000 62 108
54.110000 62 108
54.600000 74 108
54.670000 74 108
54.810000 76 108
54.880000 76 108
54.950000 69 108
55.020000 69 108
55.090000 69 108
54.950000 74 108
55.020000 74 108
55.090000 74 108
54.950000 77 108
55.020000 77 108
55.090000 77 108
55.510000 76 108
55.580000 76 108
55.650000 77 108
55.720000 77 108
55.860000 72 108
55.930000 72 108
56.000000 72 108
55.860000 79 108
55.930000 79 108
56.000000 79 108
56.140000 72 108
56.210000 72 108
56.280000 72 108
56.140000 77 108
56.210000 77 108
56.280000 77 108
56.420000 72 108
56.490000 72 108
56.560000 72 108
56.420000 79 108
56.490000 79 108
56.560000 79 108
56.700000 77 108
56.770000 77 108
56.840000 77 108
56.700000 81 108
56.770000 81 108
56.840000 81 108
57.050000 72 108
57.120000 72 108
57.190000 72 108
57.050000 79 108
57.120000 79 108
57.190000 79 108
57.330000 72 108
57.400000 72 108
57.470000 72 108
57.330000 77 108
57.400000 77 108
57.470000 77 108
57.610000 65 108
57.680000 65 108
57.750000 65 108
57.610000 70 108
57.680000 70 108
57.750000 70 108
57.610000 74 108
57.680000 74 108
57.750000 74 108
58.240000 74 108
58.310000 74 108
58.380000 76 108
58.450000 76 108
58.520000 69 108
58.590000 69 108
58.660000 69 108
58.520000 74 108
58.590000 74 108
58.660000 74 108
58.520000 77 108
58.590000 77 108
58.660000 77 108
58.800000 69 108
58.870000 69 108
58.940000 69 108
58.800000 74 108
58.870000 74 108
58.940000 74 108
58.800000 79 108
58.870000 79 108
58.940000 79 108
59.150000 74 108
59.220000 74 108
59.290000 74 108
59.150000 81 108
59.220000 81 108
59.290000 81 108
59.430000 70 108
59.500000 70 108
59.570000 70 108
59.430000 74 108
59.500000 74 108
59.570000 74 108
59.430000 82 108
59.500000 82 108
59.570000 82 108
59.710000 70 108
59.780000 70 108
59.850000 70 108
59.710000 74 108
59.780000 74 108
59.850000 74 108
60.060000 70 108
60.130000 70 108
60.200000 70 108
60.060000 79 108
60.130000 79 108
60.200000 79 108
60.340000 69 108
60.410000 69 108
60.480000 69 108
60.340000 77 108
60.410000 77 108
60.480000 77 108
60.900000 79 108
60.970000 79 108
61.110000 76 108
61.180000 76 108
61.250000 69 108
61.320000 69 108
61.390000 69 108
61.250000 74 108
61.320000 74 108
61.390000 74 108
61.810000 76 108
61.880000 76 108
61.950000 73 108
62.020000 73 108
62.160000 74 108
62.230000 74 108
62.300000 74 108
62.160000 77 108
62.230000 77 108
62.300000 77 108
62.160000 81 108
62.230000 81 108
62.300000 81 108
63.000000 74 108
63.070000 74 108
63.140000 74 108
63.000000 79 108
63.070000 79 108
63.140000 79 108
63.000000 82 108
63.070000 82 108
63.140000 82 108
63.910000 72 108
63.980000 72 108
64.050000 72 108
63.910000 77 108
63.980000 77 108
64.050000 77 108
63.910000 81 108
63.980000 81 108
64.050000 81 108
64.260000 72 108
64.330000 72 108
64.400000 72 108
64.260000 77 108
64.330000 77 108
64.400000 77 108
64.260000 81 108
64.330000 81 108
64.400000 81 108
64.540000 72 108
64.610000 72 108
64.680000 72 108
64.540000 77 108
64.610000 77 108
64.680000 77 108
64.540000 81 108
64.610000 81 108
64.680000 81 108
64.820000 72 108
64.890000 72 108
64.820000 76 108
64.890000 76 108
64.820000 81 108
64.890000 81 108
64.960000 79 108
65.030000 79 108
65.730000 70 108
65.800000 70 108
65.870000 70 108
65.730000 74 108
65.800000 74 108
65.870000 74 108
65.730000 79 108
65.800000 79 108
65.870000 79 108
66.640000 69 108
66.710000 69 108
66.780000 69 108
66.640000 74 108
66.710000 74 108
66.780000 74 108
66.640000 77 108
66.710000 77 108
66.780000 77 108
67.550000 69 108
67.620000 69 108
67.690000 69 108
67.550000 77 108
67.620000 77 108
67.690000 77 108
67.830000 69 108
67.900000 69 108
67.970000 69 108
67.830000 79 108
67.900000 79 108
67.970000 79 108
68.110000 69 108
68.180000 69 108
68.250000 69 108
68.110000 76 108
68.180000 76 108
68.250000 76 108
68.460000 65 108
68.530000 65 108
68.600000 65 108
68.670000 65 108
